C,R
I am a National Honor Society member,
I am a Native American,
I am a New Yorker,
I am a New Yorker.,
,I am a Parent.
I am a Patriot.,
I am a Pisces.,
I am a Professional.,
I am a Protestant Christian.,
I am a Registered Voter.,
I am a Religious Person.,
I am a Republican.,
I am a Runner.,
I am a Scrabble player.,
,I am a Sister.
,I am a Sister/Brother.
,I am a Son.
I am a Southerner/New Englander/Midwesterner/Westerner.,
I am a Student.,
I am a Teacher.,
I am a Traveler.,
I am a US Citizen.,
I am a US citizen,
I am a US citizen.,
I am a USA resident.,
I am a University student.,
I am a Vegetarian.,
I am a Worker.,
I am a Writer.,
I am a Yoga enthusiast.,
I am a Yoga practitioner.,
I am a artist.,
I am a artist/musician/writer/etc.,
I am a athlete.,
I am a baker.,
I am a banker.,
I am a baseball fan.,
I am a basketball fan,
I am a basketball fan.,
I am a basketball player.,
I am a believer,
I am a believer in God.,
I am a believer in ____.,
I am a believer in a certain faith,
I am a believer in a certain faith/religion.,
I am a believer in a certain religion.,
I am a believer in a particular faith or religion.,
I am a believer in a particular religion.,
I am a believer in democracy.,
I am a believer in objective morality.,
I am a believer.,
I am a biker.,
I am a biologist.,
I am a bisexual.,
I am a black belt in martial arts.,
I am a blogger.,
I am a book enthusiast.,
I am a book lover.,
I am a book reader.,
I am a book-worm.,
I am a bookworm,
I am a bookworm.,
I am a boss.,
I am a boxer.,
,I am a brother
,I am a brother of two siblings.
,I am a brother or a sister
,I am a brother or sister.
,I am a brother to two sisters.
,I am a brother.
,I am a brother/sister
,I am a brother/sister.
,I am a brother/sister/son/daughter.
I am a builder.,
I am a business owner,
I am a business owner.,
I am a business person.,
I am a business professional,
I am a business professional.,
I am a business worker.,
I am a businessman.,
I am a businessman/businesswoman.,
I am a businessperson,
I am a businessperson.,
I am a businesswoman.,
I am a cancer survivor.,
I am a car enthusiast.,
I am a career professional.,
I am a caregiver,
I am a caregiver.,
I am a caregiver/lawyer/accountant,
I am a carer.,
I am a caretaker,
I am a caretaker.,
,I am a caring neighbor.
I am a carpenter,
I am a carpenter.,
I am a cartoonist,
I am a cat lover.,
I am a cat-lover.,
I am a cat/dog owner.,
I am a certain age,
I am a certain age.,
I am a certain body type,
I am a certain ethnicity,
I am a certain ethnicity.,
I am a certain gender.,
I am a certain hobby or interest.,
I am a certain job or career.,
I am a certain level of education,
I am a certain occupation,
I am a certain occupation.,
I am a certain physical structure or physique.,
I am a certain political affiliation.,
I am a certain political party.,
I am a certain race or ethnicity.,
I am a certain race.,
I am a certain religion.,
I am a certain sexual orientation,
I am a certain sexual orientation.,
I am a certain socio-economic class.,
I am a certified scuba diver.,
I am a certified yoga instructor.,
I am a checkered enthusiast.,
I am a chef,
I am a chef or an artist.,
"I am a chef, lifelong learner, and musician.",
I am a chef.,
I am a chef/dentist/nurse,
I am a chemist.,
,I am a child
,I am a child of God.
,I am a child of immigrants.
,I am a child.
I am a church member,
I am a church member.,
I am a church musician.,
I am a church-goer.,
I am a churchgoer.,
I am a cinematographer.,
I am a cisgender female,
I am a citizen,
I am a citizen of _____.,
I am a citizen of a certain country.,
I am a citizen of a certain country/state.,
I am a citizen of a country.,
I am a citizen of a particular city.,
I am a citizen of a particular country.,
I am a citizen of a specific country.,
I am a citizen of my country of origin.,
I am a citizen of my country.,
I am a citizen of the U.S.,
I am a citizen of the United States,
I am a citizen of the United States.,
I am a citizen of the United States/United Kingdom/Germany/China etc.,
I am a citizen of the country I was born in.,
I am a citizen or resident of a certain country.,
I am a citizen or resident of a certain nation.,
I am a citizen.,
I am a city dweller or a rural person.,
I am a city dweller.,
I am a city resident.,
I am a city-dweller.,
I am a civil engineer.,
I am a classical music enthusiast.,
I am a classmate,
I am a clown.,
I am a club member.,
I am a co-worker,
I am a co-worker.,
I am a coach,
I am a coach.,
I am a coffee lover.,
,I am a colleague
,I am a colleague.
I am a collector of vinyl records.,
I am a collector.,
I am a college educated person.,
I am a college gradate.,
I am a college graduate,
I am a college graduate.,
I am a college student,
I am a college student or a professional.,
I am a college student.,
I am a college student/graduate or have a degree in a particular field.,
I am a college/university graduate.,
I am a comedian,
I am a comedian.,
I am a comic book collector.,
I am a committed team member.,
I am a community activist.,
I am a community advocate.,
I am a community member,
I am a community member.,
I am a community volunteer,
I am a community volunteer.,
I am a compassionate listener,
I am a competitive athlete.,
I am a competitive football player.,
I am a competitor.,
I am a computer programmer.,
I am a computer scientist.,
I am a conceptual thinker.,
I am a confidant.,
I am a connoisseur of a particular cuisine.,
I am a conscientious citizen.,
I am a conscientious listener.,
I am a conservationist.,
I am a conservative,
I am a conservative or a liberal.,
I am a conservative.,
I am a conservative/liberal.,
I am a consumer.,
I am a cook,
"I am a cook, teacher, and gamer.",
I am a cook.,
I am a cosplayer.,
I am a counselor.,
,I am a cousin.
,I am a coworker.
I am a craftsperson.,
I am a creative,
I am a creative individual.,
I am a creative person,
I am a creative person.,
I am a creative problem solver.,
I am a creative thinker,
I am a creative thinker.,
I am a creative.,
I am a creator,
I am a culinarian.,
I am a cultural enthusiast.,
I am a culture enthusiast.,
I am a current residence of a particular city.,
I am a custodian.,
I am a customer service representative.,
I am a customer.,
I am a cyclist,
I am a cyclist.,
I am a cyclist/runner.,
,I am a dad.
,I am a dad/mom.
I am a dancer,
I am a dancer.,
,I am a daughter
,I am a daughter / son.
,I am a daughter of two parents.
,I am a daughter or son
,I am a daughter or son.
,I am a daughter.
,I am a daughter/son
,I am a daughter/son-in-law.
,I am a daughter/son.
,I am a daughter/son/parent
,I am a daughter/son/sibling.
I am a dedicated follower of a certain political party.,
I am a dedicated sports fan,
I am a dedicated volunteer.,
I am a dedicated worker,
I am a defender of human rights.,
I am a democrat.,
I am a dentist.,
I am a descendant.,
I am a designer.,
I am a determined learner.,
I am a devoted fan of a sports team.,
I am a devotee of _____.,
I am a devout Christian.,
I am a different race.,
I am a disciple.,
I am a disciplined student.,
I am a distant relative.,
I am a doctor,
I am a doctor.,
I am a doctor/nurse.,
I am a dog lover,
I am a dog lover.,
I am a dog owner.,
I am a dog person,
I am a dog person.,
I am a dog-lover,
I am a dog-lover.,
I am a dog-owner.,
I am a dog-person.,
I am a dog/cat/pet lover,
I am a dreamer,
I am a dreamer.,
I am a drummer.,
I am a employee.,
I am a entrepreneur,
I am a entrepreneur.,
I am a environmental activist.,
I am a environmentalist.,
I am a fair negotiator.,
,I am a family member
,I am a family member.
,I am a family person.
I am a fan of a certain sports team.,
"I am a fan of a certain team, movie, music artist, or book.",
I am a fan of a particular sports team.,
I am a fan of basketball.,
I am a fan of classic novels.,
I am a fan of classic rock.,
I am a fan of football.,
I am a fan of jazz music.,
I am a fan of music,
I am a fan of rock music,
I am a fan of science fiction books.,
"I am a fan of the show ""Friends"".",
I am a fan.,
I am a farmer.,
I am a fashion enthusiast.,
I am a fashion model.,
I am a fashionista,
I am a fashionista.,
,I am a father
,I am a father (or mother).
,I am a father of two children.
,I am a father of two.
,I am a father or mother.
,I am a father.
,I am a father/mother
,I am a father/mother.
,I am a father/mother/parent.
I am a female,
I am a female or male.,
I am a female.,
I am a female/male,
I am a female/male.,
I am a feminist,
I am a feminist.,
I am a fighter.,
I am a film buff.,
I am a filmmaker.,
I am a financial advisor.,
I am a financial analyst.,
I am a financial contributor to my family.,
I am a firefighter,
I am a firefighter.,
I am a first-generation American.,
I am a first-generation immigrant.,
I am a fitness enthusiast.,
I am a follower,
I am a follower of ____.,
I am a follower of a certain faith.,
I am a follower of a particular faith,
I am a follower of a specific faith or spiritual practice.,
I am a follower of a spiritual practice.,
I am a follower of fashion.,
I am a follower.,
I am a food connoisseur.,
I am a food lover.,
I am a foodie,
I am a foodie.,
I am a football fan.,
I am a football player,
I am a freelance worker.,
,I am a friend
,I am a friend .
,I am a friend of ____.
,I am a friend of certain people.
I am a friend of nature.,
,I am a friend or family member.
,I am a friend to a certain group or persons.
,I am a friend to many.
"I am a friend, coach, and reader.",
,I am a friend.
,I am a friend/acquaintance.
,I am a friend/colleague.
,I am a friend/family member.
,I am a friend/sibling/parent/grandparent/relative.
,I am a friend/student/colleague.
I am a friendly person.,
I am a future entrepreneur.,
I am a gamer,
I am a gamer.,
I am a garden enthusiast,
I am a gardener,
I am a gardener.,
I am a gay man.,
I am a geek.,
I am a geek/nerd.,
I am a gender fluid individual.,
I am a gender.,
I am a generation or age group.,
I am a girl,
I am a girl.,
I am a girl/boy.,
I am a global citizen.,
I am a gold-star customer.,
I am a golfer,
I am a golfer.,
,I am a good friend.
I am a good listener.,
I am a good problem solver.,
I am a graduate student.,
I am a graduate.,
,I am a grandchild.
,I am a grandmother or grandfather
,I am a grandmother.
,I am a grandparent.
,I am a grandson/granddaughter.
I am a green card holder.,
I am a hairstylist.,
I am a happy person.,
I am a hard worker.,
I am a health advocate.,
I am a health enthusiast.,
I am a healthcare professional.,
I am a healthcare provider.,
I am a healthcare worker,
I am a healthcare worker.,
I am a high school graduate,
I am a high school graduate.,
I am a high school or college student.,
I am a high school student,
I am a high school student.,
I am a highly-motivated/laid back individual.,
I am a historian.,
I am a hobby or interest.,
I am a hobbyist,
"I am a hobbyist (painting, cooking, etc.).",
I am a hobbyist or craftsperson.,
I am a hobbyist.,
I am a home cook.,
I am a home maker.,
I am a home-owner.,
I am a homebrewer.,
I am a homemaker,
I am a homemaker.,
I am a homeowner,
I am a homeowner.,
I am a hometown resident,
I am a human,
I am a human being.,
I am a human rights activist.,
I am a human rights advocate.,
I am a human.,
I am a humanist.,
I am a humanitarian,
I am a humanitarian.,
I am a humorous person.,
,I am a husband
,I am a husband or a wife
,I am a husband or a wife.
,I am a husband or wife
,I am a husband or wife.
,I am a husband.
,I am a husband/wife.
,I am a husband/wife/parent.
,I am a husband/wife/partner.
I am a jazz musician.,
I am a jogger.,
I am a journeyperson.,
I am a keen photographer.,
I am a keeper of hobbies.,
I am a kind individual.,
I am a kind person.,
I am a landscaper,
I am a lawyer.,
I am a leader,
I am a leader.,
I am a learner.,
I am a left-handed person.,
I am a left-handed.,
I am a liberal,
"I am a liberal, moderate, or conservative.",
I am a liberal-minded person.,
I am a liberal.,
I am a liberal/conservative.,
I am a libertarian.,
I am a librarian.,
I am a licensed driver.,
I am a life-long learner,
I am a life-long learner.,
I am a listener.,
I am a literature lover,
I am a location.,
I am a love-seeker,
I am a lover,
I am a lover and protector of the environment.,
I am a lover of Chinese food.,
I am a lover of _____.,
"I am a lover of a certain activity, sport, or hobby.",
I am a lover of a certain sport or hobby.,
I am a lover of animals.,
"I am a lover of art, music, and/or literature.",
I am a lover of books,
I am a lover of books.,
I am a lover of languages.,
I am a lover of learning.,
I am a lover of music,
I am a lover of music.,
I am a lover of nature,
I am a lover of nature.,
I am a lover of the outdoors.,
I am a lover of the outdoors/city life.,
I am a lover.,
I am a lover/philanthropist.,
I am a loving and attentive mother.,
,I am a loving partner.
I am a loyal customer of a particular brand/store.,
,I am a loyal friend
,I am a loyal friend.
I am a loyal/trustworthy person.,
I am a male,
I am a male or female.,
I am a male.,
I am a male/female,
I am a male/female.,
I am a man,
I am a man (or woman).,
I am a man or a woman.,
I am a man or woman.,
I am a man.,
I am a man/woman.,
I am a man/woman/non-binary individual.,
I am a man/woman/non-binary person.,
I am a man/woman/other.,
I am a man/woman/person.,
I am a manager.,
I am a marathon runner,
I am a marathon runner.,
I am a marathoner.,
I am a marketer.,
,I am a married parent.
I am a married person,
I am a married person.,
I am a mathematician.,
I am a mechanic,
I am a mechanical engineer.,
I am a medic.,
I am a medical professional.,
I am a member of Jaycees,
I am a member of _____.,
I am a member of a certain age group.,
I am a member of a certain club.,
I am a member of a certain community or organization.,
I am a member of a certain community.,
I am a member of a certain culture or ethnicity.,
I am a member of a certain ethnic group.,
I am a member of a certain ethnic or religious group.,
I am a member of a certain ethnicity or race.,
I am a member of a certain faith community.,
I am a member of a certain faith.,
I am a member of a certain gender.,
I am a member of a certain group.,
I am a member of a certain organization.,
I am a member of a certain political party.,
I am a member of a certain profession.,
I am a member of a certain race or ethnicity.,
I am a member of a certain religion,
I am a member of a certain religion or faith.,
I am a member of a certain religion.,
I am a member of a certain religion/spiritual group.,
I am a member of a certain religious or spiritual group.,
I am a member of a civic organization.,
I am a member of a club or team,
I am a member of a club.,
I am a member of a club/organization.,
I am a member of a community.,
I am a member of a cultural group,
I am a member of a cultural group.,
I am a member of a faith community,
I am a member of a faith community.,
I am a member of a faith group.,
I am a member of a faith or religious group.,
I am a member of a faith tradition.,
I am a member of a faith.,
I am a member of a particular ethnic group.,
I am a member of a particular faith.,
I am a member of a particular faith/religious group.,
I am a member of a particular political group or party.,
I am a member of a particular political party or group.,
I am a member of a particular political party.,
I am a member of a particular race or ethnicity.,
"I am a member of a particular race, ethnicity, or social group.",
I am a member of a particular race/ethnicity.,
I am a member of a particular racial or ethnic group.,
I am a member of a particular religion.,
I am a member of a particular religious group.,
I am a member of a particular religious or cultural group.,
"I am a member of a particular religious, racial, or ethnic group.",
I am a member of a particular social network.,
I am a member of a political party.,
I am a member of a religion.,
I am a member of a religious denomination.,
I am a member of a religious group,
I am a member of a religious group.,
I am a member of a religious or spiritual community,
I am a member of a religious organization.,
"I am a member of a religious, spiritual, or cultural group.",
I am a member of a socio-economic class.,
I am a member of a specific community/group/organization.,
I am a member of a specific cultural/ethnic/religious group,
I am a member of a specific ethnic group.,
I am a member of a specific political party.,
I am a member of a specific religion.,
I am a member of a sports team.,
I am a member of an organization.,
I am a member of an organized sports team.,
I am a member of my community,
I am a member of my community.,
I am a member of my faith community.,
I am a member of my local community.,
I am a member of the Democratic Party.,
I am a member of the LGBT community,
I am a member of the LGBT community.,
I am a member of the LGBTQ community.,
I am a member of the LGBTQ+ community.,
I am a member of the community.,
I am a member of the local community theater.,
I am a member of various clubs/communities/causes.,
"I am a member of various cultural, religious, political and social groups.",
I am a mentor,
I am a mentor.,
I am a mentor/mentee.,
I am a middle-aged adult.,
I am a middle-aged man,
I am a middle-aged woman.,
I am a middle-class American.,
I am a military veteran.,
I am a millennial.,
I am a millionaire,
"I am a mixture of physical, mental and spiritual characteristics",
,I am a mom
,I am a mom.
I am a morning person.,
,I am a mother
,I am a mother of two
,I am a mother or father.
,"I am a mother, father, or caregiver."
,I am a mother.
,I am a mother/father
,I am a mother/father.
,I am a mother/father/parent.
"I am a motivated, organized, or patient person.",
I am a motorcyclist,
I am a movie buff.,
I am a movie enthusiast.,
I am a movie fan.,
I am a muscian.,
I am a music aficionado.,
I am a music enthusiast.,
I am a music fan,
I am a music fan.,
I am a music lover,
I am a music lover.,
I am a music producer.,
I am a music-lover.,
I am a musician,
I am a musician or a visual artist.,
I am a musician.,
I am a musician/artist.,
I am a musician/singer.,
I am a nationality.,
I am a native of a particular region or location.,
I am a natural leader.,
I am a nature enthusiast.,
I am a nature lover,
I am a nature lover.,
I am a nature photographer.,
I am a nature-lover.,
I am a negotiator.,
,I am a neighbor
,I am a neighbor.
I am a neighbor/citizen.,
I am a new student.,
I am a novelist.,
I am a nurse,
I am a nurse.,
I am a nurse/doctor.,
I am a owner of a business.,
I am a pacifist.,
I am a painter.,
I am a pal.,
,I am a parent
,I am a parent of two children.
,I am a parent or a single adult.
,I am a parent or a son/daughter.
,I am a parent to a certain number of children.
,"I am a parent, aunt, or uncle."
,I am a parent.
,I am a parent/caregiver.
,I am a parent/child.
,I am a parent/childless
,I am a parent/guardian.
,I am a parent/non-parent.
I am a part-time worker.,
I am a particular culture/ethnicity.,
I am a particular political party supporter/member.,
,I am a partner
,I am a partner.
I am a party-goer.,
I am a passionate advocate for social justice.,
I am a passionate chef.,
I am a passionate cook.,
I am a passionate leader.,
I am a passionate person.,
I am a passionate reader.,
I am a passionate/ambitious person.,
I am a pastor.,
I am a patient,
I am a patriot of my country.,
I am a patriot.,
I am a penny pincher.,
I am a people-pleaser/reserved person.,
I am a perfectionist.,
I am a person,
I am a person in my 20s,
I am a person of color,
I am a person of color.,
I am a person of faith,
I am a person of faith.,
I am a person who likes to help others,
I am a person who loves to travel.,
I am a person with a disability,
"I am a person with ancestors, a past and a legacy",
I am a person with disabilities.,
I am a person with particular interests and hobbies.,
I am a person with specific interests.,
I am a person.,
I am a personality type.,
I am a pet lover.,
I am a pet owner.,
I am a pet parent.,
I am a pet-owner,
I am a pet-owner.,
I am a pharmacist.,
I am a philanthropist,
I am a philanthropist.,
I am a philosopher.,
I am a photographer,
I am a photographer.,
I am a physician,
I am a physician.,
I am a physicist.,
I am a pianist.,
I am a plant enthusiast.,
I am a plumber.,
I am a poet.,
I am a political activist,
I am a political activist.,
I am a political affiliation.,
I am a political independent.,
I am a political party member,
I am a political/social activist.,
I am a politically minded person.,
I am a politician.,
I am a positive and optimistic person,
I am a powerlifter.,
I am a practitioner of _____.,
I am a practitioner of a particular art/sport/hobby.,
I am a prep cook.,
I am a presenter.,
I am a priest.,
I am a problem solver.,
I am a professional,
I am a professional ____.,
I am a professional accountant.,
I am a professional athlete.,
I am a professional dancer.,
I am a professional in a certain field.,
I am a professional in a corporate office.,
I am a professional in the field of Information Technology.,
I am a professional in the field of my choice.,
I am a professional in the finance industry.,
I am a professional programmer.,
I am a professional web developer.,
"I am a professional, an artist, an athlete, etc.",
I am a professional.,
I am a professional/non-professionala.,
I am a professional/occupied in a certain field.,
I am a professional/unemployed.,
I am a professor.,
I am a programmer,
I am a programmer.,
I am a programmer/engineer.,
I am a progressive.,
I am a protector of the environment.,
I am a proud American.,
I am a proud alumnus of a university.,
I am a proud citizen.,
I am a proud member of my community,
,I am a proud parent
,I am a proud parent.
I am a psychiatrist.,
I am a public school teacher.,
I am a published author,
I am a published author.,
I am a puppy-lover.,
I am a puzzler.,
I am a racial minority.,
I am a reader,
I am a reader of non-fiction books.,
I am a reader.,
I am a reader/writer.,
I am a recreational athlete or a sports enthusiast.,
I am a recreational athlete.,
I am a redhead.,
I am a registered Democrat voter.,
I am a registered nurse,
I am a registered nurse.,
,I am a relative
,I am a relative.
,I am a reliable friend
I am a religion.,
I am a religious adherent.,
I am a religious believer.,
I am a religious faith community member,
I am a religious follower,
I am a religious follower.,
I am a religious leader.,
I am a religious member.,
I am a religious minority.,
I am a religious person,
I am a religious person.,
I am a religious practitioner.,
I am a religious worshiper,
I am a religious worshipper.,
I am a religious/non-religious believer,
I am a renter.,
I am a researcher,
I am a researcher.,
I am a resident of Colorado.,
I am a resident of _____ City.,
I am a resident of a certain area or neighborhood.,
I am a resident of a certain city or state.,
I am a resident of a certain city.,
I am a resident of a certain city/state.,
I am a resident of a certain city/town/area.,
I am a resident of a certain community.,
I am a resident of a particular area.,
I am a resident of a particular city or state.,
I am a resident of a particular city.,
I am a resident of a particular city/town/state.,
I am a resident of a specific region or city.,
I am a resident.,
I am a respected leader.,
I am a responsible and informed voter.,
I am a responsible citizen with rights and obligations,
I am a restaurant manager.,
I am a retail employee.,
I am a retired professional.,
I am a retiree.,
I am a right-handed individual.,
I am a risk taker.,
I am a risk-taker,
I am a risk-taker.,
I am a robot enthusiast.,
I am a rock climber,
I am a role model.,
I am a rugby player.,
I am a runner,
I am a runner.,
I am a sailor.,
I am a salesperson.,
I am a savior of animals.,
I am a scholar.,
I am a science enthusiast.,
I am a science lover.,
I am a scientist,
"I am a scientist, engineer, or technician.",
I am a scientist.,
I am a scientist/engineer/programmer,
I am a seeker of knowledge.,
I am a self-made person,
I am a senior,
I am a senior citizen.,
I am a servant of God.,
I am a sexuality.,
I am a short-order cook.,
,I am a sibling
,I am a sibling of someone.
,I am a sibling.
I am a singer,
I am a singer.,
,I am a single parent
,I am a single parent.
I am a single person.,
"I am a single, young adult",
,I am a sister
,I am a sister (or brother).
,I am a sister / brother.
,I am a sister or brother.
,I am a sister.
,I am a sister/brother
,I am a sister/brother.
,I am a sister/brother/sibling/friend.
I am a skeptic.,
I am a small business owner.,
I am a smoker.,
I am a soccer coach.,
I am a soccer fan.,
I am a soccer player.,
I am a social activist.,
I am a social media user.,
I am a social thinker,
I am a social worker.,
I am a socialist.,
I am a sociologist.,
I am a software developer.,
I am a software engineer.,
I am a soldier,
I am a soldier.,
,I am a son
,I am a son (or daughter).
,I am a son / daughter.
,I am a son of single mother.
,I am a son or a daughter
,I am a son or daughter
,I am a son or daughter.
,"I am a son, daughter, brother, or sister."
,"I am a son, daughter, or sibling."
,I am a son.
,I am a son/daughter
,I am a son/daughter of ____.
,I am a son/daughter of _____.
,I am a son/daughter of my parents.
,I am a son/daughter.
,I am a son/daughter/child.
,I am a son/daughter/daughter-in-law/son-in law
,I am a son/daughter/mother/father.
,I am a son/daughter/nephew/niece.
,I am a son/daughter/parent
,I am a son/daughter/parent/brother/sister.
,I am a son/daughter/parent/friend.
I am a spiritual being,
I am a spiritual leader.,
I am a spiritual or meditator.,
I am a spiritual practitioner.,
I am a spiritual seeker.,
I am a spiritual/religious being.,
I am a spiritualist.,
I am a sport enthusiast.,
I am a sport's fan.,
I am a sports enthusiast,
I am a sports enthusiast.,
I am a sports enthusiast/gamer/outdoorsman/other hobbyist.,
I am a sports fan,
I am a sports fan.,
I am a sports fan/political enthusiast/ gamer.,
I am a sports lover.,
I am a sports player.,
I am a sportsman.,
I am a sportsman/athlete.,
,I am a spouse
,I am a spouse.
,I am a spouse/partner/friend.
I am a stay at home mom.,
I am a stay-at-home parent.,
I am a strong independent person.,
I am a strong independent woman,
I am a student,
I am a student at a nearby college.,
I am a student leader.,
I am a student of a particular school.,
I am a student of a particular subject.,
I am a student of business studies.,
I am a student of history.,
I am a student of philosophy,
I am a student of the Arts.,
I am a student or a professional.,
I am a student or scholar.,
I am a student or working professional.,
"I am a student, teacher, employee, or entrepreneur.",
,"I am a student, wife, and mother."
I am a student-athlete,
I am a student-athlete.,
I am a student.,
I am a student/graduate of _____.,
I am a student/graduate/scholar.,
I am a student/professional.,
I am a student/recent graduate.,
I am a student/teacher.,
I am a student/teacher/businessperson,
I am a student/teacher/employee.,
I am a student/teacher/professor.,
I am a student/worker.,
I am a successful entrepreneur/executive.,
I am a supporter,
I am a supporter of LGBTQ rights.,
I am a supporter of LGBTQ+ rights.,
I am a supporter of a certain cause or movement.,
I am a supporter of a specific artistic medium.,
I am a supporter of education.,
I am a supporter of human rights,
I am a supporter of workers' rights.,
I am a supporter.,
I am a surfer,
I am a surfer.,
I am a survivor,
I am a swimmer.,
I am a taxpayer.,
I am a teacher,
I am a teacher.,
I am a teacher/coach.,
I am a teacher/lawyer/doctor/etc.,
I am a teacher/nurse/lawyer.,
I am a teacher/student.,
I am a team member.,
I am a team player.,
I am a team-player.,
I am a teammate,
I am a tech enthusiast.,
I am a techie,
I am a technology enthusiast.,
I am a technology geek.,
I am a technophile.,
I am a teenager,
I am a teenager.,
I am a therapist.,
I am a thinker.,
I am a travel enthusiast.,
I am a traveler,
I am a traveler or adventurer.,
I am a traveler.,
I am a traveler/family member/friend,
I am a traveler/local.,
I am a traveller.,
I am a triathlete.,
,I am a twin.
I am a union worker.,
I am a university graduate.,
I am a university student.,
I am a valedictorian.,
I am a vegan,
I am a vegan.,
I am a vegan/vegetarian/meat eater.,
I am a vegan/vegetarian/meat-eater.,
I am a vegetarian,
I am a vegetarian.,
I am a vegetarian/vegan/meat-eater.,
I am a vegetarian/vegan/pescatarian.,
I am a veteran.,
I am a veterinarian.,
I am a victim of bullying,
I am a video game enthusiast,
I am a volunteer,
I am a volunteer at a homeless shelter.,
I am a volunteer at a local charity.,
I am a volunteer at a local shelter.,
I am a volunteer for a local charity.,
I am a volunteer in different organizations.,
I am a volunteer in my community.,
I am a volunteer in my local community,
I am a volunteer in my local community.,
I am a volunteer or activist in a particular cause.,
"I am a volunteer, yogi, and hiker.",
I am a volunteer.,
I am a volunteer/mentor.,
I am a volunteer/philanthropist.,
I am a voracious reader,
I am a voter,
I am a voter.,
I am a warrior.,
I am a white male.,
,I am a wife
,I am a wife.
,I am a wife/husband.
I am a wine connoisseur.,
I am a woman,
"I am a woman, South Asian, and Muslim.",
"I am a woman, man, transgender, or non-binary individual.",
I am a woman.,
I am a woman/man.,
I am a worker,
I am a worker in a certain field.,
I am a worker.,
I am a worker/businessman/businesswoman.,
I am a working professional.,
I am a world citizen,
I am a world traveler.,
I am a world traveller.,
I am a writer,
I am a writer.,
