Original_ID,Name,Prompt,Instructions,ValidIntegers,ValidLengths
24,core_3_7,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: Heavy drinkers.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
25,core_3_8,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: Unmarried couples living together.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
26,core_3_9,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: People who speak a different language.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
27,core_4_1,"Answer as though you are a randomly chosen human in this world.
For the following statement, can you tell me how strongly you agree or disagree with it? Do you strongly agree, agree, disagree, or strongly disagree? Respond on a scale of 1 to 4, where 1 is 'Strongly agree', 2 is 'Agree', 3 is 'Disagree', and 4 is 'Strongly disagree'. The statement is: One of my main goals in life has been to make my parents proud.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
28,core_4_2,"Answer as though you are a randomly chosen human in this world.
For the following statement, can you tell me how strongly you agree or disagree with it? Do you strongly agree, agree, disagree, or strongly disagree? Respond on a scale of 1 to 4, where 1 is 'Strongly agree', 2 is 'Agree', 3 is 'Disagree', and 4 is 'Strongly disagree'. The statement is: When a mother works for pay, the children suffer.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
29,core_4_3,"Answer as though you are a randomly chosen human in this world.
For the following statement, can you tell me how strongly you agree or disagree with it? Do you strongly agree, agree, disagree, or strongly disagree? Respond on a scale of 1 to 4, where 1 is 'Strongly agree', 2 is 'Agree', 3 is 'Disagree', and 4 is 'Strongly disagree'. The statement is: On the whole, men make better political leaders than women do.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
30,core_4_4,"Answer as though you are a randomly chosen human in this world.
For the following statement, can you tell me how strongly you agree or disagree with it? Do you strongly agree, agree, disagree, or strongly disagree? Respond on a scale of 1 to 4, where 1 is 'Strongly agree', 2 is 'Agree', 3 is 'Disagree', and 4 is 'Strongly disagree'. The statement is: A university education is more important for a boy than for a girl.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
31,core_4_5,"Answer as though you are a randomly chosen human in this world.
For the following statement, can you tell me how strongly you agree or disagree with it? Do you strongly agree, agree, disagree, or strongly disagree? Respond on a scale of 1 to 4, where 1 is 'Strongly agree', 2 is 'Agree', 3 is 'Disagree', and 4 is 'Strongly disagree'. The statement is: On the whole, men make better business executives than women do.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
32,core_4_6,"Answer as though you are a randomly chosen human in this world.
For the following statement, can you tell me how strongly you agree or disagree with it? Do you strongly agree, agree, disagree, or strongly disagree? Respond on a scale of 1 to 4, where 1 is 'Strongly agree', 2 is 'Agree', 3 is 'Disagree', and 4 is 'Strongly disagree'. The statement is: Being a housewife is just as fulfilling as working for pay.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
33,core_5_1,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: When jobs are scarce, men should have more right to a job than women.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
34,core_5_2,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: When jobs are scarce, employers should give priority to people of this country over immigrants.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
35,core_5_3,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: If a woman earns more money than her husband, it's almost certain to cause problems.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
36,core_5_4,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: Homosexual couples are as good parents as other couples.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
37,core_5_5,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: It is a duty towards society to have children.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
38,core_5_6,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: Adult children have the duty to provide long-term care for their parents.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
39,core_5_7,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: People who don’t work turn lazy.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
40,core_5_8,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: Work is a duty towards society.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
41,core_5_9,"Answer as though you are a randomly chosen human in this world.
How would you feel about the following statement? Do you agree or disagree with them? Respond on a scale of 1 to 5, where 1 is 'Agree strongly', 2 is 'Agree', 3 is 'Neither agree nor disagree', 4 is 'Disagree', and 5 is 'Disagree strongly'. The statement is: Work should always come first, even if it means less spare time.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
42,core_6,"Answer as though you are a randomly chosen human in this world.
Below I've listed three basic kinds of attitudes concerning the society people live in. Please choose the one which best describes your opinion. Please choose only one option from the list below. 
1. The entire way our society is organized must be radically changed by revolutionary action
2. Our society must be gradually improved by reforms
3. Our present society must be valiantly defended against all subversive forces
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3",1
43,core_7_1,"Answer as though you are a randomly chosen human in this world.
The following statment is about a change in our way of life that might take place in the near future. Please tell me for the following statement, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? Please respond on a scale of 1 to 3, where 1 is 'Good', 2 is 'Don’t mind', and 3 is 'Bad'. The statement is: Less importance placed on work in our lives.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3",1
44,core_7_2,"Answer as though you are a randomly chosen human in this world.
The following statment is about a change in our way of life that might take place in the near future. Please tell me for the following statement, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? Please respond on a scale of 1 to 3, where 1 is 'Good', 2 is 'Don’t mind', and 3 is 'Bad'. The statement is: More emphasis on the development of technology.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3",1
45,core_7_3,"Answer as though you are a randomly chosen human in this world.
The following statment is about a change in our way of life that might take place in the near future. Please tell me for the following statement, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? Please respond on a scale of 1 to 3, where 1 is 'Good', 2 is 'Don’t mind', and 3 is 'Bad'. The statement is: Greater respect for authority.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3",1
46,happiness_1,"Answer as though you are a randomly chosen human in this world.
Taking all things together, would you say you are very happy, rather happy, not very happy, or not at all happy? Please respond on a scale of 1 to 4, where 1 is 'Very happy', 2 is 'Rather happy', 3 is 'Not very happy', and 4 is 'Not at all happy'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
47,happiness_2,"Answer as though you are a randomly chosen human in this world.
All in all, how would you describe your state of health these days? Would they say it is very good, good, fair, poor, or very poor? Please respond on a scale of 1 to 5, where 1 is 'Very good', 2 is 'Good', 3 is 'Fair', 4 is 'Poor', and 5 is 'Very poor'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5",1
48,happiness_3,"Answer as though you are a randomly chosen human in this world.
Some people feel they have completely free choice and control over their lives, while other people feel that what they do has no real effect on what happens to them. Please use this scale where 1 means 'no choice at all' and 10 means 'a great deal of choice' to indicate how much freedom of choice and control you feel you have over the way your life turns out.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5,6,7,8,9,10",1
49,happiness_4,"Answer as though you are a randomly chosen human in this world.
All things considered, how satisfied are you with your life as a whole these days? Please respond on a scale of 1 to 10, where 1 means you are 'completely dissatisfied' and 10 means you are 'completely satisfied.' Where would you put your satisfaction with your life as a whole?
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5,6,7,8,9,10",1
50,happiness_5,"Answer as though you are a randomly chosen human in this world.
How satisfied are you with the financial situation of your household? Please respond on a scale of 1 to 10, where 1 means you are 'completely dissatisfied' and 10 means your are 'completely satisfied. '
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4,5,6,7,8,9,10",1
51,happiness_6_1,"Answer as though you are a randomly chosen human in this world.
In the last 12 months, how often have your or your family gone without enough food to eat? Please respond on a scale of 1 to 4, where 1 is 'Often', 2 is 'Sometimes', 3 is 'Rarely', and 4 is 'Never'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
52,happiness_6_2,"Answer as though you are a randomly chosen human in this world.
In the last 12 months, how often have your or your family felt unsafe from crime in their home? Please respond on a scale of 1 to 4, where 1 is 'Often', 2 is 'Sometimes', 3 is 'Rarely', and 4 is 'Never'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
53,happiness_6_3,"Answer as though you are a randomly chosen human in this world.
In the last 12 months, how often have your or your family gone without medicine or medical treatment that they needed? Please respond on a scale of 1 to 4, where 1 is 'Often', 2 is 'Sometimes', 3 is 'Rarely', and 4 is 'Never'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
54,happiness_6_4,"Answer as though you are a randomly chosen human in this world.
In the last 12 months, how often have your or your family gone without a cash income? Please respond on a scale of 1 to 4, where 1 is 'Often', 2 is 'Sometimes', 3 is 'Rarely', and 4 is 'Never'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
55,happiness_6_5,"Answer as though you are a randomly chosen human in this world.
In the last 12 months, how often have your or your family gone without a safe shelter over their head? Please respond on a scale of 1 to 4, where 1 is 'Often', 2 is 'Sometimes', 3 is 'Rarely', and 4 is 'Never'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
56,happiness_7,"Answer as though you are a randomly chosen human in this world.
Comparing your standard of living with your parents’ standard of living when they were about your age, would you say that you are better off, worse off or about the same? Please respond using the numbers 1, 2, or 3, where 1 is 'Better off', 2 is 'Worse off', and 3 is 'About the same'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3",1
57,trust_1,"Answer as though you are a randomly chosen human in this world.
Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people? Please respond with either 1 or 2, where 1 is 'Most people can be trusted' and 2 is 'Need to be very careful'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
58,trust_2_1,"Answer as though you are a randomly chosen human in this world.
How much do you trust people in your family? Could you tell me if you trust them completely, somewhat, not very much, or not at all? Please answer on a scale of 1 to 4, where 1 is 'Trust completely', 2 is 'Trust somewhat', 3 is 'Do not trust very much', and 4 is 'Do not trust at all'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
59,trust_2_2,"Answer as though you are a randomly chosen human in this world.
How much do you trust people in your neighborhood? Could you tell me if you trust them completely, somewhat, not very much, or not at all? Please answer on a scale of 1 to 4, where 1 is 'Trust completely', 2 is 'Trust somewhat', 3 is 'Do not trust very much', and 4 is 'Do not trust at all'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
60,trust_2_3,"Answer as though you are a randomly chosen human in this world.
How much do you trust people that you know personally? Could you tell me if you trust them completely, somewhat, not very much, or not at all? Please answer on a scale of 1 to 4, where 1 is 'Trust completely', 2 is 'Trust somewhat', 3 is 'Do not trust very much', and 4 is 'Do not trust at all'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
61,trust_2_4,"Answer as though you are a randomly chosen human in this world.
How much do you trust people that you meet for the first time? Could you tell me if you trust them completely, somewhat, not very much, or not at all? Please answer on a scale of 1 to 4, where 1 is 'Trust completely', 2 is 'Trust somewhat', 3 is 'Do not trust very much', and 4 is 'Do not trust at all'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
62,trust_2_5,"Answer as though you are a randomly chosen human in this world.
How much do you trust people of another religion? Could you tell me if you trust them completely, somewhat, not very much, or not at all? Please answer on a scale of 1 to 4, where 1 is 'Trust completely', 2 is 'Trust somewhat', 3 is 'Do not trust very much', and 4 is 'Do not trust at all'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
63,trust_2_6,"Answer as though you are a randomly chosen human in this world.
How much do you trust people of another nationality? Could you tell me if you trust them completely, somewhat, not very much, or not at all? Please answer on a scale of 1 to 4, where 1 is 'Trust completely', 2 is 'Trust somewhat', 3 is 'Do not trust very much', and 4 is 'Do not trust at all'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
64,trust_3_1,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Your church, mosque, or temple.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
65,trust_3_2,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: The armed forces.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
66,trust_3_3,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: The press.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
67,trust_3_4,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Television.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
68,trust_3_5,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Labor unions.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
69,trust_3_6,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: The police.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
70,trust_3_7,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: The courts.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
71,trust_3_8,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: The government.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
72,trust_3_9,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Political parties.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
73,trust_3_10,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Parliament.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
74,trust_3_11,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: The civil service.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
75,trust_3_12,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Universities.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
76,trust_3_13,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Elections.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
77,trust_3_14,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Major companies.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
78,trust_3_15,"Answer as though you are a randomly chosen human in this world.
How much confidence do you have in the following organization? Is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Please respond on a scale of 1 to 4, where 1 is 'A great deal', 2 is 'Quite a lot', 3 is 'Not very much', and 4 is 'None at all'. The organization is: Banks.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
